stock_id,date,eps
1101,2017-03-31,0.23
1101,2017-06-30,0.58
1101,2017-09-30,0.53
1101,2017-12-31,0.69
1101,2018-03-31,0.69
1101,2018-06-30,1.45
1101,2018-09-30,1.21
1101,2018-12-31,1.02
1101,2019-03-31,0.77
1101,2019-06-30,1.42
1101,2019-09-30,1.05
1101,2019-12-31,1.19
1101,2020-03-31,0.55
1101,2020-06-30,1.39
1101,2020-09-30,1.21
1101,2020-12-31,1.17
1101,2021-03-31,0.57
1101,2021-06-30,1.25
1101,2021-09-30,0.59
1101,2021-12-31,0.89
1101,2022-03-31,0.2
1101,2022-06-30,-0.04
1101,2022-09-30,0.22
1101,2022-12-31,0.36
1101,2023-03-31,0.2
1101,2023-06-30,0.44
1101,2023-09-30,0.18
1101,2023-12-31,0.24
1101,2024-03-31,0.26
1101,2024-06-30,0.25
1101,2024-09-30,0.42
1101,2024-12-31,0.52
1101,2025-03-31,0.07
1101,2025-06-30,0.0
1101,2025-09-30,-1.35
1102,2017-03-31,0.08
1102,2017-06-30,0.51
1102,2017-09-30,0.61
1102,2017-12-31,0.54
1102,2018-03-31,0.6
1102,2018-06-30,1.38
1102,2018-09-30,0.98
1102,2018-12-31,0.58
1102,2019-03-31,0.93
1102,2019-06-30,1.98
1102,2019-09-30,1.38
1102,2019-12-31,1.27
1102,2020-03-31,0.24
1102,2020-06-30,1.49
1102,2020-09-30,1.57
1102,2020-12-31,1.4
1102,2021-03-31,1.02
1102,2021-06-30,1.44
1102,2021-09-30,1.04
1102,2021-12-31,1.2
1102,2022-03-31,0.76
1102,2022-06-30,1.35
1102,2022-09-30,1.33
1102,2022-12-31,0.19
1102,2023-03-31,0.81
1102,2023-06-30,1.26
1102,2023-09-30,0.81
1102,2023-12-31,0.4
1102,2024-03-31,0.89
1102,2024-06-30,1.27
1102,2024-09-30,0.56
1102,2024-12-31,1.14
1102,2025-03-31,0.41
1102,2025-06-30,0.87
1102,2025-09-30,1.14
1103,2017-03-31,-0.17
1103,2017-06-30,0.01
1103,2017-09-30,0.09
1103,2017-12-31,1.46
1103,2018-03-31,0.24
1103,2018-06-30,0.38
1103,2018-09-30,0.75
1103,2018-12-31,-0.28
1103,2019-03-31,0.2
1103,2019-06-30,0.93
1103,2019-09-30,1.18
1103,2019-12-31,-0.29
1103,2020-03-31,-0.33
1103,2020-06-30,0.22
1103,2020-09-30,0.93
1103,2020-12-31,1.92
1103,2021-03-31,-0.2
1103,2021-06-30,-0.25
1103,2021-09-30,1.38
1103,2021-12-31,0.09
1103,2022-03-31,-0.12
1103,2022-06-30,-0.62
1103,2022-09-30,0.41
1103,2022-12-31,0.05
1103,2023-03-31,0.03
1103,2023-06-30,0.0
1103,2023-09-30,0.18
1103,2023-12-31,-0.09
1103,2024-03-31,-0.06
1103,2024-06-30,0.11
1103,2024-09-30,0.74
1103,2024-12-31,-0.31
1103,2025-03-31,0.13
1103,2025-06-30,-0.45
1103,2025-09-30,1.05
1104,2017-03-31,0.45
1104,2017-06-30,0.59
1104,2017-09-30,0.53
1104,2017-12-31,0.59
1104,2018-03-31,0.01
1104,2018-06-30,0.62
1104,2018-09-30,0.53
1104,2018-12-31,0.46
1104,2019-03-31,0.24
1104,2019-06-30,0.46
1104,2019-09-30,0.37
1104,2019-12-31,0.67
1104,2020-03-31,0.07
1104,2020-06-30,0.66
1104,2020-09-30,0.6
1104,2020-12-31,0.58
1104,2021-03-31,0.35
1104,2021-06-30,0.46
1104,2021-09-30,0.3
1104,2021-12-31,0.55
1104,2022-03-31,0.82
1104,2022-06-30,0.5
1104,2022-09-30,0.88
1104,2022-12-31,0.92
1104,2023-03-31,0.42
1104,2023-06-30,0.61
1104,2023-09-30,1.42
1104,2023-12-31,0.68
1104,2024-03-31,0.37
1104,2024-06-30,0.55
1104,2024-09-30,0.69
1104,2024-12-31,0.55
1104,2025-03-31,0.42
1104,2025-06-30,0.56
1104,2025-09-30,0.82
1108,2017-03-31,0.05
1108,2017-06-30,0.02
1108,2017-09-30,-0.02
1108,2017-12-31,-0.3
1108,2018-03-31,-0.01
1108,2018-06-30,-0.01
1108,2018-09-30,-0.1
1108,2018-12-31,-0.32
1108,2019-03-31,-0.07
1108,2019-06-30,0.03
1108,2019-09-30,0.04
1108,2019-12-31,0.11
1108,2020-03-31,0.23
1108,2020-06-30,0.33
1108,2020-09-30,0.25
1108,2020-12-31,0.16
1108,2021-03-31,0.13
