stock_id,date,revenue
1101,2017-01-01,9418581000
1101,2017-02-01,6131670000
1101,2017-03-01,5964991000
1101,2017-04-01,9083111000
1101,2017-05-01,8370478000
1101,2017-06-01,8485032000
1101,2017-07-01,7858569000
1101,2017-08-01,8034396000
1101,2017-09-01,6952639000
1101,2017-10-01,8071192000
1101,2017-11-01,8387381000
1101,2017-12-01,9985897000
1101,2018-01-01,10988149000
1101,2018-02-01,9617393000
1101,2018-03-01,4811678000
1101,2018-04-01,9750141000
1101,2018-05-01,11023422000
1101,2018-06-01,11539982000
1101,2018-07-01,10757628000
1101,2018-08-01,11013654000
1101,2018-09-01,10707234000
1101,2018-10-01,10436223000
1101,2018-11-01,11753303000
1101,2018-12-01,11784150000
1101,2019-01-01,11404254000
1101,2019-02-01,9394240000
1101,2019-03-01,5085162000
1101,2019-04-01,10876929000
1101,2019-05-01,10596314000
1101,2019-06-01,10903967000
1101,2019-07-01,9866871000
1101,2019-08-01,10489337000
1101,2019-09-01,10228796000
1101,2019-10-01,10120251000
1101,2019-11-01,11211942000
1101,2019-12-01,11678701000
1101,2020-01-01,12349908000
1101,2020-02-01,7502141000
1101,2020-03-01,5000692000
1101,2020-04-01,9473250000
1101,2020-05-01,10216799000
1101,2020-06-01,10285516000
1101,2020-07-01,9961312000
1101,2020-08-01,10178622000
1101,2020-09-01,9885013000
1101,2020-10-01,9745147000
1101,2020-11-01,10293900000
1101,2020-12-01,10889658000
1101,2021-01-01,10933035000
1101,2021-02-01,8596261000
1101,2021-03-01,4536849000
1101,2021-04-01,9779716000
1101,2021-05-01,9672128000
1101,2021-06-01,9832764000
1101,2021-07-01,8480821000
1101,2021-08-01,8319971000
1101,2021-09-01,8964476000
1101,2021-10-01,9597804000
1101,2021-11-01,9565047000
1101,2021-12-01,9752687000
1101,2022-01-01,10821264000
1101,2022-02-01,7517896000
1101,2022-03-01,5456068000
1101,2022-04-01,9971650000
1101,2022-05-01,8319342000
1101,2022-06-01,7733787000
1101,2022-07-01,9145989000
1101,2022-08-01,10102468000
1101,2022-09-01,10689860000
1101,2022-10-01,10404901000
1101,2022-11-01,11368096000
1101,2022-12-01,9674576000
1101,2023-01-01,12584154000
1101,2023-02-01,7325221000
1101,2023-03-01,7306069000
1101,2023-04-01,11730367000
1101,2023-05-01,9100119000
1101,2023-06-01,9596091000
1101,2023-07-01,8816109000
1101,2023-08-01,8953462000
1101,2023-09-01,9379408000
1101,2023-10-01,8735157000
1101,2023-11-01,9371746000
1101,2023-12-01,8786909000
1101,2024-01-01,9514039000
1101,2024-02-01,7237930000
1101,2024-03-01,4798581000
1101,2024-04-01,13649152000
1101,2024-05-01,11626493000
1101,2024-06-01,13860276000
1101,2024-07-01,13659543000
1101,2024-08-01,14429687000
1101,2024-09-01,13004435000
1101,2024-10-01,13325249000
1101,2024-11-01,16272067000
1101,2024-12-01,16502520000
1101,2025-01-01,16543379000
1101,2025-02-01,12213350000
1101,2025-03-01,9123490000
1101,2025-04-01,13635386000
1101,2025-05-01,12681318000
1101,2025-06-01,12619495000
1101,2025-07-01,10107877000
1101,2025-08-01,13535929000
1101,2025-09-01,12214776000
1101,2025-10-01,13306676000
1101,2025-11-01,13882248000
1101,2025-12-01,13121753000
1101,2026-01-01,14219975000
1101,2026-02-01,12252892000
1102,2017-01-01,6023954000
1102,2017-02-01,4162130000
1102,2017-03-01,3049461000
1102,2017-04-01,5308954000
1102,2017-05-01,5218646000
1102,2017-06-01,5741517000
1102,2017-07-01,5331442000
1102,2017-08-01,5252149000
1102,2017-09-01,5478165000
1102,2017-10-01,5806573000
1102,2017-11-01,5840273000
1102,2017-12-01,6639248000
1102,2018-01-01,7070625000
1102,2018-02-01,6769986000
1102,2018-03-01,3408539000
1102,2018-04-01,6395353000
1102,2018-05-01,7188266000
1102,2018-06-01,7698165000
1102,2018-07-01,7549925000
1102,2018-08-01,7021279000
1102,2018-09-01,7180291000
1102,2018-10-01,7703807000
1102,2018-11-01,7657714000
1102,2018-12-01,7626297000
1102,2019-01-01,6548928000
1102,2019-02-01,7905737000
1102,2019-03-01,3165899000
1102,2019-04-01,8318969000
1102,2019-05-01,8434811000
1102,2019-06-01,8435765000
1102,2019-07-01,7536507000
1102,2019-08-01,7813300000
1102,2019-09-01,7203378000
1102,2019-10-01,7394901000
1102,2019-11-01,7016219000
1102,2019-12-01,8000839000
1102,2020-01-01,8115203000
1102,2020-02-01,5210319000
1102,2020-03-01,2851105000
1102,2020-04-01,5077457000
1102,2020-05-01,6751585000
1102,2020-06-01,7182969000
1102,2020-07-01,6752208000
1102,2020-08-01,6798878000
1102,2020-09-01,6683133000
1102,2020-10-01,7256519000
1102,2020-11-01,7433331000
1102,2020-12-01,7923604000
1102,2021-01-01,8320877000
1102,2021-02-01,7436331000
1102,2021-03-01,3450204000
1102,2021-04-01,7006606000
1102,2021-05-01,7830830000
1102,2021-06-01,7688883000
1102,2021-07-01,6895504000
1102,2021-08-01,6477630000
1102,2021-09-01,7193266000
1102,2021-10-01,7831470000
1102,2021-11-01,9454594000
1102,2021-12-01,8985672000
1102,2022-01-01,9403723000
1102,2022-02-01,7420726000
1102,2022-03-01,4100676000
1102,2022-04-01,8160414000
1102,2022-05-01,8710220000
1102,2022-06-01,8000427000
1102,2022-07-01,7776413000
1102,2022-08-01,7864622000
1102,2022-09-01,7069221000
1102,2022-10-01,6994078000
1102,2022-11-01,7601097000
1102,2022-12-01,8306062000
1102,2023-01-01,8340507000
1102,2023-02-01,4814494000
1102,2023-03-01,6241236000
1102,2023-04-01,8152982000
1102,2023-05-01,7168871000
1102,2023-06-01,7238507000
1102,2023-07-01,6671130000
1102,2023-08-01,6790125000
1102,2023-09-01,6469836000
1102,2023-10-01,6691905000
1102,2023-11-01,6706168000
1102,2023-12-01,6915817000
1102,2024-01-01,6313936000
1102,2024-02-01,6490566000
1102,2024-03-01,3599986000
1102,2024-04-01,6409280000
1102,2024-05-01,5686606000
1102,2024-06-01,6459670000
1102,2024-07-01,6838497000
1102,2024-08-01,6722518000
1102,2024-09-01,6734055000
1102,2024-10-01,6496635000
1102,2024-11-01,6572799000
1102,2024-12-01,7193978000
1102,2025-01-01,7085373000
1102,2025-02-01,5877674000
1102,2025-03-01,4184371000
1102,2025-04-01,6532662000
1102,2025-05-01,6276269000
1102,2025-06-01,6370169000
